Employee_Name,EmpID,PerfScoreID,FromDiversityJobFairID,Salary,Position,State,Zip,DOB,Age,Sex,MaritalDesc,CitizenDesc,DateofHire,DateofTermination,AttritionCount,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,DaysLateLast30,Absences
"Adinolfi, Wilson K",10026,4,0,62506,Production Technician I,MA,1960,10-07-1983,40,M ,Single,US Citizen,05-07-2011,,0,Active,Production       ,Michael Albert,LinkedIn,Exceeds,4.6,5,0,0,1
"Ait Sidi, Karthikeyan",10084,3,0,104437,Sr. DBA,MA,2148,05-05-1975,48,M ,Married,US Citizen,30-03-2015,16-06-2016,1,Voluntarily Terminated,IT/IS,Simon Roup,Indeed,Fully Meets,4.96,3,6,0,17
"Akinkuolie, Sarah",10196,3,0,64955,Production Technician II,MA,1810,19-09-1988,35,F,Married,US Citizen,05-07-2011,24-09-2012,1,Voluntarily Terminated,Production       ,Kissy Sullivan,LinkedIn,Fully Meets,3.02,3,0,0,3
"Alagbe,Trina",10088,3,0,64991,Production Technician I,MA,1886,27-09-1988,35,F,Married,US Citizen,07-01-2008,,0,Active,Production       ,Elijiah Gray,Indeed,Fully Meets,4.84,5,0,0,15
"Anderson, Carol",10069,3,0,50825,Production Technician I,MA,2169,08-09-1989,34,F,Divorced,US Citizen,11-07-2011,06-09-2016,1,Voluntarily Terminated,Production       ,Webster Butler,Google Search,Fully Meets,5,4,0,0,2
"Anderson, Linda",10002,4,0,57568,Production Technician I,MA,1844,22-05-1977,46,F,Single,US Citizen,09-01-2012,,0,Active,Production       ,Amy Dunn,LinkedIn,Exceeds,5,5,0,0,15
"Andreola, Colby",10194,3,0,95660,Software Engineer,MA,2110,24-05-1979,44,F,Single,US Citizen,10-11-2014,,0,Active,Software Engineering,Alex Sweetwater,LinkedIn,Fully Meets,3.04,3,4,0,19
"Athwal, Sam",10062,3,0,59365,Production Technician I,MA,2199,18-02-1983,40,M ,Widowed,US Citizen,30-09-2013,,0,Active,Production       ,Ketsia Liebig,Employee Referral,Fully Meets,5,4,0,0,19
"Bachiochi, Linda",10114,3,1,47837,Production Technician I,MA,1902,11-02-1970,53,F,Single,US Citizen,06-07-2009,,0,Active,Production       ,Brannon Miller,Diversity Job Fair,Fully Meets,4.46,3,0,0,4
"Bacong, Alejandro",10250,3,0,50178,IT Support,MA,1886,07-01-1988,35,M ,Divorced,US Citizen,05-01-2015,,0,Active,IT/IS,Peter Monroe,Indeed,Fully Meets,5,5,6,0,16
"Baczenski, Rachael",10252,3,1,54670,Production Technician I,MA,1902,12-01-1974,49,F,Married,US Citizen,10-01-2011,12-01-2017,1,Voluntarily Terminated,Production       ,David Stanley,Diversity Job Fair,Fully Meets,4.2,4,0,0,12
